id,tripID,latitude,longitude,EVsRDR,batterySOC,batteryKMH,currentElevation,currentIncline,totalDistance,distanceFromLastPoint
284,3,-37.82935824,175.0711123,95.15770199,56.64148928,13.59395743,181.9365234,0.960182935,13.559,0.104
285,3,-37.82980868,175.0700426,94.66550698,56.34851606,13.52364385,187.3833008,0.981980263,13.667,0.108
286,3,-37.83011776,175.0689216,94.50144198,56.25085832,13.500206,200.4101563,1.048066874,13.771,0.104
287,3,-37.83068715,175.0679951,94.33737697,56.15320058,13.47676814,193.8378906,0.999472313,13.875,0.104
288,3,-37.83144345,175.0671087,94.50144198,56.25085832,13.500206,192.2138672,0.97892988,13.992,0.117
289,3,-37.83232141,175.0666329,94.66550698,56.34851606,13.52364385,192.2138672,0.97892988,13.992,0
290,3,-37.83232141,175.0666329,94.66550698,56.34851606,13.52364385,186.8833923,0.939651854,14.099,0.107
291,3,-37.83232141,175.0666329,94.82957198,56.4461738,13.54708171,186.8833923,0.939651854,14.099,0
292,3,-37.83249152,175.0654145,94.82957198,56.4461738,13.54708171,167.9472656,0.82556501,14.248,0.149
293,3,-37.83249152,175.0654145,94.82957198,56.4461738,13.54708171,167.9472656,0.82556501,14.248,0
294,3,-37.83220021,175.0605545,94.99363699,56.54383154,13.57051957,165.8099365,0.806957012,14.385,0.137
295,3,-37.83220021,175.0605545,94.99363699,56.54383154,13.57051957,165.8099365,0.806957012,14.385,0
296,3,-37.83220021,175.0605545,94.99363699,56.54383154,13.57051957,157.2333984,0.750986104,14.615,0.23
297,3,-37.83220021,175.0605545,95.15770199,56.64148928,13.59395743,150.9183197,0.714284689,14.724,0.109
298,3,-37.83220021,175.0605545,94.99363699,56.54383154,13.57051957,157.962616,0.756451357,14.507,-0.217
299,3,-37.83220021,175.0605545,95.15770199,56.64148928,13.59395743,157.2333984,0.750986104,14.615,0.108
300,3,-37.83220021,175.0605545,95.15770199,56.64148928,13.59395743,139.6923981,0.65240456,14.836,0.221
301,3,-37.83220021,175.0605545,95.15770199,56.64148928,13.59395743,129.1088867,0.59151369,14.943,0.107
302,3,-37.83220021,175.0605545,95.15770199,56.64148928,13.59395743,129.1088867,0.59151369,14.943,0
303,3,-37.83199636,175.05831,95.485832,56.83680476,13.64083314,130.3157654,0.592876168,15.056,0.113
304,3,-37.83199636,175.05831,95.485832,56.83680476,13.64083314,114.0957108,0.503594236,15.163,0.107
305,3,-37.83199636,175.05831,95.649897,56.9344625,13.664271,114.0957108,0.503594236,15.163,0
306,3,-37.83158665,175.0556032,95.649897,56.9344625,13.664271,108.5312576,0.469272206,15.277,0.114
307,3,-37.83158665,175.0556032,95.81396201,57.03212024,13.68770886,108.5312576,0.469272206,15.277,0
308,3,-37.83158665,175.0556032,95.81396201,57.03212024,13.68770886,96.61637878,0.403700328,15.501,0.224
309,3,-37.83158665,175.0556032,95.97802701,57.12977798,13.71114672,96.61637878,0.403700328,15.501,0
310,3,-37.83165383,175.0544643,95.97802701,57.12977798,13.71114672,80.32861328,0.318226433,15.618,0.117
311,3,-37.83165383,175.0544643,95.97802701,57.12977798,13.71114672,78,0.303617626,15.719,0.101
